11 апр. – 8 май 2024;3,813;4,8;Внедрение версии: Внедрение версии 64 (4.0) запущено для 20% пользователей. Внедрение версии: Внедрение версии 64 (4.0) остановлено. Внедрение версии: Внедрение версии 65 (4.0) запущено для 20% пользователей. Внедрение версии: Внедрение версии 66 (4.0) запущено для 20% пользователей. Внедрение версии: Внедрение версии 66 (4.0) расширено до 50% пользователей. Внедрение версии: Внедрение версии 66 (4.0) расширено до 70% пользователей. Внедрение версии: Внедрение версии 66 (4.0) расширено до 100% пользователей.
9 май – 5 июнь 2024;3,136;5;Внедрение версии: Внедрение версии 67 (4.0) запущено для 20% пользователей. Внедрение версии: Внедрение версии 67 (4.0) расширено до 10% пользователей. Внедрение версии: Внедрение версии 67 (4.0) расширено до 1% пользователей. Внедрение версии: Внедрение версии 67 (4.0) остановлено. Внедрение версии: Внедрение версии 67 (4.0) возобновлено для 4% пользователей.
6 июнь – 3 июль 2024;3,273;4,216;Внедрение версии: Внедрение версии 67 (4.0) расширено до 15% пользователей. Внедрение версии: Внедрение версии 67 (4.0) расширено до 50% пользователей. Внедрение версии: Внедрение версии 67 (4.0) расширено до 100% пользователей. Внедрение версии: Внедрение версии 240610 (4.4.0) запущено для 20% пользователей. Внедрение версии: Внедрение версии 240610 (4.4.0) расширено до 5% пользователей. Внедрение версии: Внедрение версии 240610 (4.4.0) расширено до 15% пользователей. Внедрение версии: Внедрение версии 240610 (4.4.0) расширено до 50% пользователей. Внедрение версии: Внедрение версии 240610 (4.4.0) расширено до 100% пользователей.
4 – 31 июль 2024;3,421;4,317;Внедрение версии: Внедрение версии 4.7.0(24072310) запущено для 20% пользователей. Внедрение версии: Внедрение версии 4.7.0(24072310) расширено до 5% пользователей. Внедрение версии: Внедрение версии 4.7.0(24072310) расширено до 15% пользователей. Внедрение версии: Внедрение версии 4.7.0(24072310) расширено до 50% пользователей. Внедрение версии: Внедрение версии 4.7.0(24072310) расширено до 75% пользователей. Внедрение версии: Внедрение версии 4.7.0(24072310) расширено до 100% пользователей.
1 – 28 авг. 2024;4,316;4,297;Внедрение версии: Внедрение версии 24082820 (4.9.0) запущено для 20% пользователей.
29 авг. – 25 сент. 2024;2,826;5;Внедрение версии: Внедрение версии 24082820 (4.9.0) расширено до 15% пользователей. Внедрение версии: Внедрение версии 24082820 (4.9.0) расширено до 50% пользователей. Внедрение версии: Внедрение версии 24082820 (4.9.0) расширено до 100% пользователей. Внедрение версии: Внедрение версии 24091910 (4.10.1) запущено для 20% пользователей. Внедрение версии: Внедрение версии 24091910 (4.10.1) расширено до 5% пользователей. Внедрение версии: Внедрение версии 24091910 (4.10.1) расширено до 15% пользователей. Внедрение версии: Внедрение версии 24091910 (4.10.1) расширено до 50% пользователей. Внедрение версии: Внедрение версии 24091910 (4.10.1) расширено до 100% пользователей.
26 сент. – 23 окт. 2024;2,742;4,351;
24 окт. – 20 нояб. 2024;2,813;4,5;Внедрение версии: Внедрение версии 24111303 (5.0.0) запущено для 2% пользователей. Внедрение версии: Внедрение версии 24111303 (5.0.0) расширено до 0% пользователей. Внедрение версии: Внедрение версии 24111303 (5.0.0) расширено до 2% пользователей. Внедрение версии: Внедрение версии 24111303 (5.0.0) расширено до 5% пользователей. Внедрение версии: Внедрение версии 24111303 (5.0.0) остановлено. Внедрение версии: Внедрение версии 24111802 запущено для 5% пользователей. Внедрение версии: Внедрение версии 24111802 расширено до 5% пользователей. Внедрение версии: Внедрение версии 24111802 расширено до 15% пользователей.
21 нояб. – 18 дек. 2024;3,111;4,547;Внедрение версии: Внедрение версии 24111802 расширено до 25% пользователей. Внедрение версии: Внедрение версии 24111802 расширено до 50% пользователей. Внедрение версии: Внедрение версии 24111802 расширено до 30% пользователей. Внедрение версии: Внедрение версии 24111802 расширено до 75% пользователей. Внедрение версии: Внедрение версии 24111802 расширено до 85% пользователей. Внедрение версии: Внедрение версии 24111802 расширено до 100% пользователей. Внедрение версии: Внедрение версии 24120601 (5.3.0) запущено для 1% пользователей. Внедрение версии: Внедрение версии 24120601 (5.3.0) расширено до 2% пользователей. Внедрение версии: Внедрение версии 24120601 (5.3.0) расширено до 5% пользователей. Внедрение версии: Внедрение версии 24120601 (5.3.0) расширено до 15% пользователей. Внедрение версии: Внедрение версии 24120601 (5.3.0) расширено до 50% пользователей. Внедрение версии: Внедрение версии 24120601 (5.3.0) расширено до 100% пользователей.
19 дек. 2024 г. – 15 янв. 2025 г.;3,5;4,588;
